id,time,ele
153,16:43.6,1019
153,16:44.6,1022
153,16:45.6,1000
153,16:46.6,1020
153,16:47.6,1012
153,16:48.6,1015
153,16:49.6,1010
153,16:50.6,1012
153,16:51.6,1010
153,16:52.6,1013
153,16:53.6,1018
153,16:54.6,1010
153,16:55.6,1013
153,16:56.6,1008
153,16:57.6,1013
153,16:58.6,1014
153,16:59.6,1017
153,17:00.6,1015
153,17:01.6,1021
153,17:02.6,1344
153,17:03.6,1356
153,17:04.6,1444
153,17:05.6,1599
153,17:06.6,1603
153,17:07.6,1604
153,17:08.6,1603
153,17:09.6,1603
153,17:10.6,1603
153,17:11.6,1604
153,17:12.6,1603
153,17:13.6,1583
153,17:14.6,1485
153,17:15.6,1490
153,17:16.6,1507
153,17:17.6,1498
153,17:18.6,1494
153,17:19.6,1485
153,17:20.6,1479
153,17:21.6,1473
153,17:22.6,1467
153,17:23.6,1463
153,17:24.6,1330
153,17:25.6,1191
153,17:26.6,1158
153,17:27.6,1152
153,17:28.6,1151
153,17:29.6,1134
153,17:30.6,1116
153,17:31.6,1109
153,17:32.6,1109
153,17:33.6,1102
153,17:34.6,1091
153,17:35.6,1080
153,17:36.6,1073
153,17:37.6,1062
153,17:38.6,1044
153,17:39.6,1033
153,17:40.6,1022
153,17:41.6,1009
153,17:42.7,1000
153,17:43.6,997
153,17:44.6,996
153,17:45.6,991
153,17:46.6,986
153,17:47.6,989
153,17:48.6,985
153,17:49.6,987
153,17:50.6,988
153,17:51.6,1005
153,17:52.6,1001
153,17:53.6,999
153,17:54.6,999
153,17:55.6,1012
153,17:56.6,1011
153,17:57.6,1002
153,17:58.6,999
153,17:59.6,1001
153,18:00.6,1019
153,18:01.6,1019
153,18:02.6,1024
153,18:03.6,1025
153,18:04.6,1032
153,18:05.6,1032
153,18:06.6,1032
153,18:07.6,1030
153,18:08.6,1028
153,18:09.6,1031
153,18:10.6,1193
153,18:11.6,1490
153,18:12.6,1449
153,18:13.6,1371
153,18:14.6,1600
153,18:15.6,1602
153,18:16.6,1603
153,18:17.6,1479
153,18:18.6,1415
153,18:19.6,1359
153,18:20.6,1375
153,18:21.6,1411
153,18:22.6,1449
153,18:23.6,1457
153,18:24.6,1314
153,18:25.6,1249
153,18:26.6,1214
153,18:27.6,1189
153,18:28.6,1135
153,18:29.6,1110
153,18:30.6,1106
153,18:31.6,1103
153,18:32.6,1101
153,18:33.6,1098
153,18:34.6,1087
153,18:35.6,1085
153,18:36.6,1078
153,18:37.6,1071
153,18:38.6,1064
153,18:39.6,1052
153,18:40.6,1042
153,18:41.6,1035
153,18:42.6,1027
153,18:43.6,1031
153,18:44.6,1011
153,18:45.6,1007
153,18:46.6,1002
153,18:47.6,999
153,18:48.6,989
153,18:49.6,985
153,18:50.6,985
153,18:51.6,983
153,18:52.6,987
153,18:53.6,1017
153,18:54.6,1038
153,18:55.6,1012
153,18:56.6,1013
153,18:57.6,1008
153,18:58.6,1032
153,18:59.6,1021
153,19:00.6,1023
153,19:01.6,1023
153,19:02.6,1030
153,19:03.6,1031
153,19:04.6,1032
153,19:05.6,1029
153,19:06.6,1027
153,19:07.6,1239
153,19:08.6,1088
153,19:09.6,1077
153,19:10.6,1191
153,19:11.6,1117
153,19:12.6,1017
153,19:13.6,1188
153,19:14.6,1553
153,19:15.6,1278
153,19:16.6,1204
153,19:17.6,1573
153,19:18.6,1556
153,19:19.6,1410
153,19:20.6,1298
153,19:21.6,1246
153,19:22.6,1218
153,19:23.6,1225
153,19:24.6,1251
153,19:25.6,1276
153,19:26.6,1300
153,19:27.6,1321
153,19:28.6,1310
153,19:29.6,1293
153,19:30.6,1269
153,19:31.6,1209
153,19:32.6,1121
153,19:33.6,1088
153,19:34.6,1250
153,19:35.6,1104
153,19:36.6,1087
153,19:37.6,1080
153,19:38.6,1069
153,19:39.6,1061
153,19:40.6,1055
153,19:41.6,1049
153,19:42.6,1038
153,19:43.6,1036
153,19:44.6,1030
153,19:45.6,1024
153,19:46.6,1022
153,19:47.6,1031
153,19:48.6,1029
153,19:49.9,1021
153,19:50.6,1020
153,19:51.6,1012
153,19:52.6,1006
153,19:53.8,1003
153,19:54.6,1008
153,19:55.6,1022
153,19:56.6,1056
153,19:57.6,1027
153,19:58.6,1028
153,19:59.6,1021
153,20:00.6,1038
153,20:01.6,1037
153,20:02.6,1049
153,20:03.6,1052
153,20:04.6,1032
153,20:05.6,1030
153,20:06.6,1027
153,20:07.6,1039
153,20:08.6,1037
153,20:09.6,1042
153,20:10.6,1026
153,20:11.6,1026
153,20:12.6,1028
153,20:13.6,1039
153,20:14.6,1055
153,20:15.6,1054
153,20:16.6,1053
153,20:17.6,1234
153,20:18.6,1051
153,20:19.6,1082
153,20:20.6,1152
153,20:21.8,1120
153,20:22.6,1347
153,20:23.6,1451
153,20:24.6,1403
153,20:25.6,1356
153,20:26.6,1488
153,20:27.6,1530
153,20:28.6,1539
153,20:29.6,1574
153,20:30.6,1577
153,20:31.6,1577
153,20:32.6,1431
153,20:33.6,1258
153,20:34.6,1194
153,20:35.6,1204
153,20:36.6,1193
153,20:37.6,1186
153,20:38.6,1197
153,20:39.6,1217
153,20:40.6,1226
153,20:41.6,1225
153,20:42.6,1130
153,20:43.6,1110
153,20:44.6,1100
153,20:45.6,1094
153,20:46.6,1085
153,20:47.6,1077
153,20:48.6,1063
153,20:49.8,1050
153,20:50.6,1037
153,20:51.6,1030
153,20:52.6,1028
153,20:53.6,1026
153,20:54.6,1011
153,20:55.6,1003
153,20:56.6,992
153,20:57.6,991
153,20:58.6,987
153,20:59.6,985
153,21:00.6,982
153,21:01.6,980
153,21:02.6,982
153,21:03.8,998
153,21:04.6,1002
153,21:05.6,999
153,21:06.6,996
153,21:07.6,995
153,21:08.6,996
153,21:09.6,1026
153,21:10.6,1006
153,21:11.6,1023
153,21:12.6,1023
153,21:13.6,1391
153,21:14.6,1525
153,21:15.6,1588
153,21:16.6,1602
153,21:17.6,1603
153,21:18.6,1603
153,21:19.6,1602
153,21:20.6,1604
153,21:21.6,1604
153,21:22.6,1603
153,21:23.6,1603
153,21:24.6,1603
153,21:25.6,1582
153,21:26.6,1521
153,21:27.6,1422
153,21:28.6,1412
153,21:29.6,1375
153,21:30.6,1339
153,21:31.6,1294
153,21:32.6,1243
153,21:33.6,1225
153,21:34.6,1224
153,21:35.6,1218
153,21:36.6,1214
153,21:37.6,1166
